[ INCOMING ],"				2023-07-24 17:53:41","				recieveArduino","						PW"
[ INCOMING ],"				2023-07-24 17:53:53","				recieveArduino","						SL"
[ OUTGOING ],"				2023-07-24 17:53:53","				transmitArduino",LAUNCH
[ INCOMING ],"				2023-07-24 17:53:55","				recieveArduino","						X1"
[ INCOMING ],"				2023-07-24 17:54:15","				recieveArduino","						SS 90"
[ INCOMING ],"				2023-07-24 17:54:16","				recieveArduino","						0		54"
[ INCOMING ],"				2023-07-24 17:54:16","				recieveArduino","						AT54"
[ INCOMING ],"				2023-07-24 17:56:24","				recieveArduino","						GS-1-10-0-0"
[ INCOMING ],"				2023-07-24 17:56:25","				recieveArduino","						GS-1-20-0-0"
[ INCOMING ],"				2023-07-24 17:56:25","				recieveArduino","						GS-1-30-0-0"
[ INCOMING ],"				2023-07-24 17:56:24","				recieveArduino","						53		53"
[ INCOMING ],"				2023-07-24 17:56:24","				recieveArduino","						AT53"
