


[ INCOMING ],				2023-07-24 17:48:44,				recieveArduino,						PW



[ OUTGOING ],				2023-07-24 17:48:50,				transmitArduino,						0
[ OUTGOING ],				2023-07-24 17:48:51,				transmitArduino,						0
[ OUTGOING ],				2023-07-24 17:48:51,				transmitArduino,						0
[ OUTGOING ],				2023-07-24 17:48:52,				transmitArduino,						0
[ OUTGOING ],				2023-07-24 17:48:54,				transmitArduino,						0
[ OUTGOING ],				2023-07-24 17:48:56,				transmitArduino,						1



[ INCOMING ],				2023-07-24 17:51:54,				recieveArduino,						PW



[ OUTGOING ],				2023-07-24 17:52:09,				transmitArduino,						4



[ INCOMING ],				2023-07-24 17:53:41,				recieveArduino,						PW
[ INCOMING ],				2023-07-24 17:53:53,				recieveArduino,						SL
[ OUTGOING ],				2023-07-24 17:53:53,				transmitArduino,						4
[ INCOMING ],				2023-07-24 17:53:55,				recieveArduino,						X1
[ INCOMING ],				2023-07-24 17:53:57,				recieveArduino,						SS,0
[ INCOMING ],				2023-07-24 17:53:59,				recieveArduino,						L1
[ INCOMING ],				2023-07-24 17:54:00,				recieveArduino,						R1
[ INCOMING ],				2023-07-24 17:54:15,				recieveArduino,						SS,90
[ INCOMING ],				2023-07-24 17:54:16,				recieveArduino,						0		54
[ INCOMING ],				2023-07-24 17:54:16,				recieveArduino,						AT54
[ INCOMING ],				2023-07-24 17:54:16,				recieveArduino,						LH
[ OUTGOING ],				2023-07-24 17:56:23,				transmitArduino,						6
[ INCOMING ],				2023-07-24 17:56:23,				recieveArduino,						LS
[ INCOMING ],				2023-07-24 17:56:23,				recieveArduino,						SS,90
[ INCOMING ],				2023-07-24 17:56:24,				recieveArduino,						53		53
[ INCOMING ],				2023-07-24 17:56:24,				recieveArduino,						AT53
[ INCOMING ],				2023-07-24 17:56:24,				recieveArduino,						SS,85
[ INCOMING ],				2023-07-24 17:56:24,				recieveArduino,						GS-1-10-0-0
[ INCOMING ],				2023-07-24 17:56:25,				recieveArduino,						GS-1-20-0-0
[ INCOMING ],				2023-07-24 17:56:25,				recieveArduino,						GS-1-30-0-0
